iso2,centroid.lon,centroid.lat,capital.lon,capital.lat
FM,158.235,6.883,158.15,6.92
FM,158.25,6.91666666667,158.15,6.92
MD,28.583333,47.25,28.85,47.0
MD,28.583,47.25,28.85,47.0
MD,29.0,47.0,28.85,47.0
MD,28.599,47.193,28.85,47.0
MC,7.419444,43.733333,7.42,43.73
MC,7.412,43.75,7.42,43.73
MC,7.419722,43.732778,7.42,43.73
MN,105.0,45.0,106.92,47.92
MN,105.0,46.0,106.92,47.92
MN,102.876,46.056,106.92,47.92
ME,19.3333,42.5,19.27,42.43
ME,19.25,42.75,19.27,42.43
ME,19.254,42.792,19.27,42.43
ME,19.3,42.5,19.27,42.43
MS,-62.2,16.75,-62.22,16.7
MS,-62.187,16.736,-62.22,16.7
MA,-6.0,32.0,-6.82,34.02
MA,-8.009,31.633,-6.82,34.02
MA,-5.0,32.0,-6.82,34.02
MA,-5.758,32.706,-6.82,34.02
MZ,35.0,-18.25,32.58,-25.95
MZ,37.923,-14.422,32.58,-25.95
MM,98.0,22.0,96.15,16.8
MM,96.041,21.718,96.15,16.8
NA,17.0,-22.0,17.08,-22.57
NA,17.218,-22.133,17.08,-22.57
NR,166.9167,-0.5333,,
NR,166.933333,-0.533333,,
NR,166.916666667,-0.533333333333,,
NR,166.93,-0.522,,
NP,84.0,28.0,85.32,27.72
NP,83.939,28.253,85.32,27.72
NL,5.75,52.5,4.92,52.35
NL,5.75,52.25,4.92,52.35
NL,5.389,52.077,4.92,52.35
NC,165.5,-21.5,166.45,-22.27
NC,165.447,-21.359,166.45,-22.27
NZ,174.0,-41.0,174.78,-41.3
NZ,172.235,-42.634,174.78,-41.3
NI,-85.8333,11.4333,-86.25,12.13
NI,-85.0,13.0,-86.25,12.13
NI,-85.034,12.84,-86.25,12.13
NE,9.5,17.0,2.12,13.52
NE,8.0,16.0,2.12,13.52
NE,9.398,17.426,2.12,13.52
NG,8.0,10.0,7.53,9.08
NG,8.105,9.594,7.53,9.08
NU,-169.866667,-19.033333,-169.92,-19.02
NU,-169.8667,-19.0333,-169.92,-19.02
NU,-169.866666667,-19.0333333333,-169.92,-19.02
NU,-169.869,-19.052,-169.92,-19.02
NF,167.95,-29.0333333333,167.97,-29.05
NF,167.953,-29.037,167.97,-29.05
KP,126.451,39.778,125.75,39.02
KP,127.0,40.0,125.75,39.02
MP,145.623,15.005,145.75,15.2
MP,145.75,15.2,145.75,15.2
NO,10.0,62.0,10.75,59.92
NO,8.74,61.152,10.75,59.92
OM,57.984857,22.163691,58.58,23.62
OM,57.5,22.666667,58.58,23.62
OM,57.0,21.0,58.58,23.62
OM,57.407,21.656,58.58,23.62
PK,70.0,30.0,73.05,33.68
PK,69.386,29.967,73.05,33.68
PW,134.0,6.0,134.63,7.48
PW,134.5,7.5,134.63,7.48
PW,134.57,7.501,134.63,7.48
PS,35.278,32.037,,
PS,35.25,32.0,,
PA,-80.0,9.0,-79.53,8.97
PA,-80.92,8.384,-79.53,8.97
PG,143.459,-5.949,147.18,-9.45
PG,147.0,-6.0,147.18,-9.45
PY,-58.0,-23.0,-57.67,-25.27
PY,-58.0,-23.333333,-57.67,-25.27
PY,-58.391,-23.236,-57.67,-25.27
PE,-75.25,-10.0,-77.05,-12.05
PE,-76.0,-10.0,-77.05,-12.05
PE,-75.552,-9.326,-77.05,-12.05
PH,122.0,13.0,120.97,14.6
PH,122.466,11.118,120.97,14.6
PN,-128.316,-24.366,-130.08,-25.07
PN,-130.1,-25.0666666667,-130.08,-25.07
PL,20.0,52.0,21.0,52.25
PL,19.401,52.125,21.0,52.25
PT,-8.0,39.5,-9.13,38.72
PT,-8.058,40.309,-9.13,38.72
PR,-66.5,18.25,-66.12,18.47
PR,-66.466,18.221,-66.12,18.47
QA,51.25,25.5,51.53,25.28
QA,51.191,25.316,51.53,25.28
RE,55.6,-21.1,,
RE,55.538,-21.122,,
RO,25.0,46.0,26.1,44.43
RO,24.969,45.844,26.1,44.43
RU,100.0,60.0,37.6,55.75
RU,47.0,60.0,37.6,55.75
RU,96.689,61.988,37.6,55.75
RW,30.0,-2.0,30.05,-1.95
RW,29.917,-1.998,30.05,-1.95
MF,-63.041,18.094,-63.08,18.07
MF,-63.06,18.075278,-63.08,18.07
WS,-172.133333,-13.8,-171.77,-13.82
WS,-172.333333333,-13.5833333333,-171.77,-13.82
WS,-172.414,-13.652,-171.77,-13.82
SM,12.4166666667,43.933333,12.42,43.93
SM,12.46,43.942,12.42,43.93
ST,7.0,1.0,6.73,0.33
ST,6.629,0.201,6.73,0.33
SA,44.585,24.023,46.7,24.65
SA,45.0,25.0,46.7,24.65
SN,-14.25,14.5,-17.63,14.73
SN,-14.0,14.0,-17.63,14.73
SN,-14.881,15.013,-17.63,14.73
RS,21.066263,43.138586,20.5,44.83
RS,20.833333,44.166667,20.5,44.83
RS,20.833,44.166,20.5,44.83
RS,20.806,44.032,20.5,44.83
RS,21.0,44.0,20.5,44.83
SC,55.474,-4.647,55.45,-4.62
SC,55.6666666667,-4.58333333333,55.45,-4.62
SL,-11.5,8.5,-13.23,8.48
SL,-11.792,8.56,-13.23,8.48
SG,103.85,1.2833,103.85,1.28
SG,103.8,1.3667,103.85,1.28
SG,103.8,1.36666666667,103.85,1.28
SG,103.808,1.351,103.85,1.28
SX,-63.06667,18.04167,,
SK,19.5,48.666667,17.12,48.15
SK,19.5,48.6667,17.12,48.15
SK,19.5,48.6666666667,17.12,48.15
SK,19.491,48.707,17.12,48.15
SI,15.0,46.083,14.52,46.05
SI,15.0,46.083333,14.52,46.05
SI,15.0,46.0,14.52,46.05
SI,14.8166666667,46.1166666667,14.52,46.05
SI,14.827,46.124,14.52,46.05
SB,159.0,-8.0,159.95,-9.43
SB,160.109,-9.611,159.95,-9.43
SO,43.340359,11.634563,45.33,2.07
SO,48.0,6.0,45.33,2.07
SO,49.0,10.0,45.33,2.07
SO,48.316,9.774,45.33,2.07
ZA,23.121,-30.558,28.22,-25.7
ZA,24.0,-29.0,28.22,-25.7
GS,-36.891,-54.209,,
GS,-37.0,-54.5,,
KR,128.103,36.504,126.98,37.55
KR,127.5,37.0,126.98,37.55
SS,30.0,8.0,31.62,4.85
ES,-4.0,40.0,-3.68,40.4
ES,-3.649,40.227,-3.68,40.4
LK,81.0,7.0,79.83,6.92
LK,80.704,7.612,79.83,6.92
BL,-63.043,18.04,,
BL,-62.833333,17.9,,
SH,-5.71,-15.953,-5.72,-15.93
SH,-5.7,-15.95,-5.72,-15.93
KN,-62.75,17.3333333333,-62.72,17.3
KN,-62.769,17.34,-62.72,17.3
LC,-60.969,13.898,-61.0,14.0
LC,-60.9666666667,13.8833333333,-61.0,14.0
PM,-56.3333333333,46.8333333333,-56.18,46.77
PM,-56.325,47.042,-56.18,46.77
VC,-61.194,13.248,-61.22,13.13
VC,-61.2,13.25,-61.22,13.13
SD,30.0,16.0,32.53,15.6
SD,30.0,15.0,32.53,15.6
SD,30.05,13.832,32.53,15.6
SR,-56.0,4.0,-55.17,5.83
SR,-55.912,4.127,-55.17,5.83
SJ,20.0,78.0,15.63,78.22
SJ,18.374,78.83,15.63,78.22
SZ,31.5,-26.5,31.13,-26.32
SZ,31.497,-26.562,31.13,-26.32
SE,15.0,62.0,18.05,59.33
SE,15.27,62.011,18.05,59.33
CH,8.0,47.0,7.47,46.92
CH,7.908,46.861,7.47,46.92
SY,38.0,35.0,36.3,33.5
SY,38.506,35.013,36.3,33.5
TW,120.6839,24.1469,121.52,25.03
TW,120.90944,24.20916,121.52,25.03
TW,120.187222,23.209167,121.52,25.03
TW,121.0,24.0,121.52,25.03
TW,120.946,23.754,121.52,25.03
TW,121.0,23.5,121.52,25.03
TJ,71.0,39.0,68.77,38.55
TJ,72.0,38.0,68.77,38.55
TJ,69.42,38.665,68.77,38.55
TZ,35.0,-6.0,39.28,-6.8
TZ,34.823,-6.27,39.28,-6.8
TH,101.0,15.5,100.52,13.75
TH,100.0,15.0,100.52,13.75
TH,100.844,15.7,100.52,13.75
TL,126.0,-8.5833,125.6,-8.58
TL,125.75,-8.833333,125.6,-8.58
TL,125.916666667,-8.83333333333,125.6,-8.58
TL,125.878,-8.822,125.6,-8.58
TG,1.1667,8.0,1.22,6.12
TG,1.083333,8.666667,1.22,6.12
TG,1.081,8.799,1.22,6.12
TG,1.16666666667,8.0,1.22,6.12
TK,-171.75,-9.0,,
TK,-171.853,-9.193,,
TK,-172.0,-9.0,,
TO,-175.0,-20.0,-175.2,-21.13
TO,-175.185,-21.202,-175.2,-21.13
TT,-61.0,11.0,-61.52,10.65
TT,-61.253,10.468,-61.52,10.65
TN,9.0,34.0,10.18,36.8
TN,9.596,35.383,10.18,36.8
TR,35.0,39.0,32.87,39.93
TR,35.179,39.061,32.87,39.93
TM,59.666667,39.75,58.38,37.95
TM,60.0,40.0,58.38,37.95
TM,59.384,39.122,58.38,37.95
TC,-71.95,21.902,-71.13,21.47
TC,-71.5833333333,21.75,-71.13,21.47
